NIK,Nama,Jenis_Kelamin,Tanggal_Lahir,Alamat,RT,RW,Dusun
7148599171043549,Anastasia Agustina,L,2000-03-23,"Gg. Jayawijaya No. 76, Batam, Sulawesi Selatan 27751",15,8,Dusun Selatan
0200851600099573,Ilyas Pudjiastuti,L,1968-01-22,"Gg. K.H. Wahid Hasyim No. 745, Langsa, Kalimantan Tengah 85137",12,7,Dusun Barat
9412616260197081,"Harjaya Kusumo, S.Gz",P,1972-12-01,"Jl. Gedebage Selatan No. 64, Kota Administrasi Jakarta Timur, Maluku 16777",18,9,Dusun Selatan
5587019605323436,Pia Nugroho,P,1961-05-25,"Gg. Suniaraja No. 972, Banda Aceh, JT 09897",11,9,Dusun Barat
3741354613552288,Lasmono Melani,L,2005-08-12,"Jalan Jend. A. Yani No. 9, Kota Administrasi Jakarta Selatan, Kepulauan Riau 92190",1,1,Dusun Utara
3863481095470925,Heryanto Sitorus,P,1963-09-09,"Gg. Waringin No. 40, Cilegon, MU 07109",19,7,Dusun Barat
7731239342949854,Ade Irawan,P,1959-07-05,"Jl. Pacuan Kuda No. 0, Cimahi, Bali 07449",10,1,Dusun Timur
1874241422443971,Elon Najmudin,P,1965-02-16,"Gg. Stasiun Wonokromo No. 312, Bekasi, Sulawesi Selatan 51523",20,3,Dusun Selatan
9731525899085934,Cindy Prasetyo,L,2006-07-17,"Jalan Veteran No. 46, Bengkulu, Kepulauan Bangka Belitung 66173",8,1,Dusun Utara
9935169974765126,Kusuma Suartini,L,1979-06-25,"Jl. K.H. Wahid Hasyim No. 84, Ternate, Kepulauan Bangka Belitung 87977",4,9,Dusun Utara
5194208926041889,"Marwata Andriani, S.Pt",P,1981-07-06,"Gg. Cikutra Timur No. 90, Tasikmalaya, Lampung 46240",10,10,Dusun Utara
4537813968538237,"T. Luwes Sinaga, S.IP",P,1953-09-10,"Jalan H.J Maemunah No. 4, Kota Administrasi Jakarta Pusat, Jambi 33272",2,7,Dusun Selatan
7625866184304418,Najwa Oktaviani,P,1980-07-09,"Jalan Kutisari Selatan No. 388, Bandung, Nusa Tenggara Timur 69745",4,7,Dusun Timur
3819628099839193,"Siska Prasetya, S.Pd",L,1954-07-12,"Jl. Ciwastra No. 2, Pekalongan, Kalimantan Tengah 99590",8,6,Dusun Timur
2600936730666202,Gabriella Anggraini,P,1957-05-03,"Jl. W.R. Supratman No. 810, Dumai, NT 20158",8,9,Dusun Utara
0800086897180747,Mala Dabukke,L,2004-08-30,"Jalan Pacuan Kuda No. 0, Sungai Penuh, MA 70647",8,4,Dusun Utara
3023918759320949,Dr. Bella Prasasta,L,1971-09-17,"Gg. Gegerkalong Hilir No. 5, Tarakan, Kalimantan Barat 10171",4,9,Dusun Utara
6979590067304259,Jagapati Mayasari,P,1991-02-04,"Gg. Ir. H. Djuanda No. 977, Cilegon, YO 10013",13,6,Dusun Selatan
9060529593960688,"Pia Mansur, S.E.",P,1970-07-20,"Jl. Abdul Muis No. 5, Palangkaraya, DKI Jakarta 24726",16,4,Dusun Selatan
5903694042198466,"Sutan Estiawan Putra, S.Psi",L,1982-09-19,"Jalan M.T Haryono No. 93, Tangerang, Sulawesi Utara 85679",18,3,Dusun Timur
5499234096978355,Lamar Habibi,L,2000-03-19,"Gg. Ciwastra No. 078, Cilegon, Papua 97613",1,7,Dusun Barat
5781106409184389,"Slamet Anggraini, S.E.",L,1998-03-26,"Gang Cempaka No. 36, Probolinggo, Sumatera Barat 27152",4,9,Dusun Barat
1350817287055125,Dian Anggriawan,L,1973-11-19,"Jalan Rawamangun No. 8, Banjar, Sulawesi Tenggara 57220",20,4,Dusun Barat
2309981861461065,R.M. Dadap Permata,P,1992-08-01,"Gg. Suryakencana No. 7, Salatiga, AC 03048",10,10,Dusun Utara
2197368449932068,Hasan Wahyuni,P,1953-04-30,"Jalan Dipatiukur No. 286, Parepare, JT 60730",2,9,Dusun Selatan
7159389746842473,"Zulaikha Maryadi, S.T.",P,1974-07-25,"Jalan Jakarta No. 1, Probolinggo, SN 16125",5,10,Dusun Selatan
8041715827012129,Sadina Kusumo,P,1997-09-21,"Gang Cihampelas No. 66, Palu, Gorontalo 38240",3,9,Dusun Timur
8660501651501046,"dr. Hairyanto Prakasa, S.Ked",P,1959-05-30,"Gang Surapati No. 6, Kota Administrasi Jakarta Timur, Jawa Barat 27349",9,3,Dusun Timur
