NIK,Nama,Tempat_Lahir,Tanggal_Lahir,Jenis_Kelamin,Alamat,RT_RW,Kel_Desa,Kecamatan,Kab_Kota,Provinsi,Agama,Status_Perkawinan,Pekerjaan,Kewarganegaraan
4016240409687001,JOKO PERMANA,SURABAYA,1968-09-04,LAKI-LAKI,JL. DUMMY NO. 8,005/007,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TENGAH,KRISTEN,KAWIN,WIRASWASTA,WNI
9637295708087361,FARHAN SANTOSO,MALANG,2008-08-17,PEREMPUAN,JL. DUMMY NO. 154,003/001,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TENGAH,ISLAM,KAWIN,BURUH,WNI
3427645005976413,BUDI SAPUTRA,MALANG,1997-05-10,PEREMPUAN,JL. DUMMY NO. 68,007/005,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA BARAT,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
3018185611532883,CITRA WIJAYA,SURABAYA,1953-11-16,PEREMPUAN,JL. DUMMY NO. 140,008/008,DESA SEJAHTERA,KECAMATAN C,BANDUNG,JAWA TENGAH,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI
6483205408783752,EKO WIJAYA,SURABAYA,1978-08-14,PEREMPUAN,JL. DUMMY NO. 176,001/006,DESA MAJU,KECAMATAN C,BOGOR,JAWA TENGAH,BUDDHA,BELUM KAWIN,KARYAWAN SWASTA,WNI
5204706207896985,DEWI PERMANA,BANDUNG,1989-07-22,PEREMPUAN,JL. DUMMY NO. 154,007/008,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA TENGAH,HINDU,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
4544101110682531,HADI SAPUTRA,BANDUNG,1968-10-11,LAKI-LAKI,JL. DUMMY NO. 152,004/002,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TENGAH,ISLAM,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
5975762305587264,INDRA LESTARI,SURABAYA,1958-05-23,LAKI-LAKI,JL. DUMMY NO. 189,004/008,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TENGAH,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
5917025607635644,FARHAN LESTARI,SURABAYA,1963-07-16,PEREMPUAN,JL. DUMMY NO. 191,010/004,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA BARAT,ISLAM,BELUM KAWIN,PETANI,WNI
1483442407866574,CITRA SANTOSO,SURABAYA,1986-07-24,LAKI-LAKI,JL. DUMMY NO. 16,001/002,DESA MAJU,KECAMATAN C,BOGOR,JAWA BARAT,HINDU,KAWIN,WIRASWASTA,WNI
3745035307521575,EKO PERMANA,BANDUNG,1952-07-13,PEREMPUAN,JL. DUMMY NO. 78,008/005,DESA SEJAHTERA,KECAMATAN C,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI
7379875508597461,JOKO PERMANA,BANDUNG,1959-08-15,PEREMPUAN,JL. DUMMY NO. 145,005/003,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA TENGAH,HINDU,KAWIN,BURUH,WNI
5610914604527162,DEWI WIJAYA,SEMARANG,1952-04-06,PEREMPUAN,JL. DUMMY NO. 7,008/004,DESA MAJU,KECAMATAN A,SURABAYA,JAWA TENGAH,HINDU,BELUM KAWIN,PETANI,WNI
2774135009769770,CITRA LESTARI,SEMARANG,1976-09-10,PEREMPUAN,JL. DUMMY NO. 167,005/007,DESA MAJU,KECAMATAN C,SEMARANG,JAWA BARAT,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
3614552411908020,ADI PERMANA,SEMARANG,1990-11-24,LAKI-LAKI,JL. DUMMY NO. 181,004/003,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TIMUR,KRISTEN,BELUM KAWIN,BURUH,WNI
7467535501939988,FARHAN PRATAMA,SURABAYA,1993-01-15,PEREMPUAN,JL. DUMMY NO. 33,004/006,DESA SEJAHTERA,KECAMATAN C,BANDUNG,JAWA TENGAH,BUDDHA,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
3646201002071798,GITA LESTARI,MALANG,2007-02-10,LAKI-LAKI,JL. DUMMY NO. 58,007/005,DESA MAJU,KECAMATAN C,SURABAYA,JAWA BARAT,KRISTEN,KAWIN,PETANI,WNI
3762526708757822,ADI PERMANA,SEMARANG,1975-08-27,PEREMPUAN,JL. DUMMY NO. 58,001/009,DESA MAKMUR,KECAMATAN A,MALANG,JAWA TIMUR,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
3764096707067637,BUDI WIJAYA,MALANG,2006-07-27,PEREMPUAN,JL. DUMMY NO. 176,006/003,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA BARAT,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
1474314702902107,JOKO PRATAMA,MALANG,1990-02-07,PEREMPUAN,JL. DUMMY NO. 22,009/008,DESA MAJU,KECAMATAN A,SURABAYA,JAWA TIMUR,ISLAM,KAWIN,KARYAWAN SWASTA,WNI
5131650204680142,EKO WIJAYA,BANDUNG,1968-04-02,LAKI-LAKI,JL. DUMMY NO. 57,008/007,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA BARAT,BUDDHA,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
7778251106651747,HADI LESTARI,SURABAYA,1965-06-11,LAKI-LAKI,JL. DUMMY NO. 131,006/007,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA BARAT,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
5175944607937450,JOKO SAPUTRA,BANDUNG,1993-07-06,PEREMPUAN,JL. DUMMY NO. 162,009/002,DESA SEJAHTERA,KECAMATAN C,SEMARANG,JAWA TENGAH,KATOLIK,KAWIN,PETANI,WNI
3620515911753779,ADI PRATAMA,BOGOR,1975-11-19,PEREMPUAN,JL. DUMMY NO. 117,007/002,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TENGAH,BUDDHA,KAWIN,WIRASWASTA,WNI
5848515705955908,INDRA SANTOSO,SURABAYA,1995-05-17,PEREMPUAN,JL. DUMMY NO. 13,004/008,DESA SEJAHTERA,KECAMATAN C,BANDUNG,JAWA TIMUR,ISLAM,BELUM KAWIN,BURUH,WNI
4508301307969775,DEWI PRATAMA,SEMARANG,1996-07-13,LAKI-LAKI,JL. DUMMY NO. 27,007/007,DESA MAJU,KECAMATAN C,BOGOR,JAWA BARAT,ISLAM,KAWIN,BURUH,WNI
9709854701910584,JOKO PERMANA,BOGOR,1991-01-07,PEREMPUAN,JL. DUMMY NO. 89,008/010,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA TIMUR,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
2361895708822429,HADI PERMANA,MALANG,1982-08-17,PEREMPUAN,JL. DUMMY NO. 183,005/003,DESA MAJU,KECAMATAN B,MALANG,JAWA BARAT,HINDU,BELUM KAWIN,WIRASWASTA,WNI
3495875202990650,BUDI SAPUTRA,SURABAYA,1999-02-12,PEREMPUAN,JL. DUMMY NO. 87,001/010,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA BARAT,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
7487621512805970,EKO WIJAYA,MALANG,1980-12-15,LAKI-LAKI,JL. DUMMY NO. 181,010/003,DESA MAJU,KECAMATAN C,MALANG,JAWA TENGAH,KRISTEN,KAWIN,WIRASWASTA,WNI
2761840301730144,ADI SANTOSO,SEMARANG,1973-01-03,LAKI-LAKI,JL. DUMMY NO. 133,010/003,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA BARAT,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
4213573105063676,DEWI SANTOSO,BOGOR,2006-05-31,LAKI-LAKI,JL. DUMMY NO. 108,001/006,DESA MAJU,KECAMATAN C,MALANG,JAWA TENGAH,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI
